tissue,cell_type,gene,n_cells,n_donors,age_range,frac_detected,slope_per_year,se,p,q
Large_Intestine,regulatory T cell,FOXP3,633,4,24.0,0.0947867298578199,-0.0037552619724109944,0.002993539416608268,0.20967649221662987,0.32848488948522125
Large_Intestine,regulatory T cell,TNF,633,4,24.0,0.05687203791469194,3.5918804170691643e-06,0.0021644182220176686,0.998675900718062,0.9986759007180619
Large_Intestine,regulatory T cell,IL4R,633,4,24.0,0.296998420221169,-0.02043823248329113,0.0042611557433573765,1.6153780108484855e-06,7.0155514541826505e-06
Large_Intestine,regulatory T cell,IL2RA,633,4,24.0,0.25118483412322273,-0.006689452415496025,0.002487526169385039,0.007162374829250572,0.018212895994380026
Large_Intestine,transit amplifying cell of colon,STAT6,237,4,5.0,0.3628691983122363,0.0181169952580545,0.007324738429710986,0.013383490653701145,0.03134554389945794
Large_Intestine,transit amplifying cell of colon,IL18,237,4,5.0,0.4472573839662447,0.012585361592984897,0.004013463106408798,0.0017139419466334382,0.0047669010390742495
Large_Intestine,transit amplifying cell of colon,IL4R,237,4,5.0,0.2616033755274262,0.003389606100672663,0.0021477679752938744,0.11451981118979483,0.19984829795866157
Large_Intestine,transit amplifying cell of colon,CXCL8,237,4,5.0,0.14345991561181434,-0.015385922489589584,0.012471697456470008,0.2173269885159298,0.33348451686065095
Large_Intestine,tuft cell of colon,STAT6,178,4,5.0,0.4044943820224719,-0.042668861171808126,0.024838854374088934,0.08582812756956305,0.15913965320189816
Large_Intestine,tuft cell of colon,IL4R,178,4,5.0,0.3651685393258427,-0.0022055397157811473,0.034596533640247305,0.9491690452598434,0.9822795933503031
Small_Intestine,B cell,STAT6,725,5,24.0,0.45517241379310347,-0.021143967988016862,0.010267318583629441,0.03946104389076089,0.10851787069959244
Small_Intestine,B cell,CDKN2A,725,5,24.0,0.07172413793103448,-0.00036987300449586283,0.0029463596773979346,0.9000995500539475,0.9167680602401317
Small_Intestine,B cell,TNF,725,5,24.0,0.08551724137931034,-0.02307210711452112,0.002666349302606368,5.0132261596146805e-18,7.877926822251641e-17
Small_Intestine,B cell,IL4R,725,5,24.0,0.2096551724137931,0.0011484479859602613,0.014169003638030845,0.9353993691195498,0.9439810147078026
Small_Intestine,B cell,IL5RA,725,5,24.0,0.07586206896551724,-0.003907633793738069,0.011732799213270919,0.7390949315497244,0.8130044247046968
Small_Intestine,B cell,IL2RA,725,5,24.0,0.2303448275862069,-0.007478886259436393,0.013046851875644755,0.5664869319714549,0.7139740567985833
Small_Intestine,BEST4+ enterocyte,STAT6,836,5,24.0,0.527511961722488,-0.002125511358756396,0.0024605963556262474,0.38768699925645944,0.5774216365824222
Small_Intestine,BEST4+ enterocyte,IL18,836,5,24.0,0.3456937799043062,-0.0006769233023415337,0.0008122759931721517,0.40463826965490224,0.5780546709355746
Small_Intestine,BEST4+ enterocyte,IL4R,836,5,24.0,0.3062200956937799,-0.0015429371023943463,0.002180577225727074,0.4792049003535641,0.6414048626759138
Small_Intestine,"CD4-positive, alpha-beta T cell",GATA3,4900,5,24.0,0.39918367346938777,0.003626146595009438,0.004040411135098885,0.3694683312697151,0.5644655061065093
Small_Intestine,"CD4-positive, alpha-beta T cell",STAT6,4900,5,24.0,0.17918367346938777,-0.0023614811631733007,0.0008258867536092715,0.004245395014315033,0.014593545361707927
Small_Intestine,"CD4-positive, alpha-beta T cell",IL1RL1,4900,5,24.0,0.05530612244897959,0.002554029209194307,0.0008315798415327168,0.0021313057398956985,0.008084263151328512
Small_Intestine,"CD4-positive, alpha-beta T cell",TNF,4900,5,24.0,0.1246938775510204,-0.000885210390947873,0.0020245708107404455,0.6619419420786408,0.7664590908278999
Small_Intestine,"CD4-positive, alpha-beta T cell",IL4R,4900,5,24.0,0.4804081632653061,0.0033291474136644614,0.005105700873460237,0.5143720562533851,0.6735824546175282
Small_Intestine,"CD4-positive, alpha-beta T cell",IL2RA,4900,5,24.0,0.4328571428571429,0.001820024595190265,0.006194956013884973,0.7689173323469924,0.8374347183977147
Small_Intestine,"CD8-positive, alpha-beta T cell",GATA3,3316,5,24.0,0.36369119420989143,0.008429359833743363,0.004973044187549986,0.09007351594861378,0.21081035647547905
Small_Intestine,"CD8-positive, alpha-beta T cell",STAT6,3316,5,24.0,0.19722557297949336,-0.0016506605796593275,5.056563373199341e-05,9.773934418119273e-234,5.3756639299656e-232
Small_Intestine,"CD8-positive, alpha-beta T cell",TNFSF14,3316,5,24.0,0.07569360675512665,-0.0017115889207915836,0.0013085708765809114,0.1908789561998343,0.3655019618381357
Small_Intestine,"CD8-positive, alpha-beta T cell",TNF,3316,5,24.0,0.20446320868516285,0.0065752872817911225,0.002323353380379057,0.004653565596079267,0.015511885320264223
Small_Intestine,"CD8-positive, alpha-beta T cell",IL4R,3316,5,24.0,0.4529553679131484,0.007141044560574367,0.00591697743756579,0.22748078056979748,0.40359493326899554
Small_Intestine,"CD8-positive, alpha-beta T cell",IL2RA,3316,5,24.0,0.2689987937273824,0.008935520866510536,0.002220055928360929,5.699759404907828e-05,0.0002849879702453914
