tissue,cell_type,score,n_cells,n_donors,age_range,slope_per_year,se,p,q
Large_Intestine,regulatory T cell,targets_score,633,4,24.0,-0.006384955724705561,0.004386537521611291,0.1455087955371517,0.20613746034429825
Large_Intestine,regulatory T cell,t2_receptor_score,633,4,24.0,-0.004932583197355452,0.002702769158741583,0.06799938323552515,0.10508995590944796
Large_Intestine,transit amplifying cell of colon,aging_sasp_score,237,4,5.0,0.025677720087181607,0.0009818861647025762,9.494796290303265e-151,1.936938443221866e-149
Large_Intestine,transit amplifying cell of colon,th2_score,237,4,5.0,-0.010177833374418948,0.002037600828290411,5.883318843713977e-07,2.4003940882353024e-06
Large_Intestine,transit amplifying cell of colon,alarmin_score,237,4,5.0,0.014670650595218156,0.0017571191524630965,6.869000883891843e-17,4.3789880634810495e-16
Large_Intestine,transit amplifying cell of colon,treg_score,237,4,5.0,-0.0034950182414877364,0.002776233086266191,0.20806405845578435,0.28296711949986675
Large_Intestine,transit amplifying cell of colon,targets_score,237,4,5.0,0.0248131217657456,0.0006546174060211178,0.0,0.0
Large_Intestine,transit amplifying cell of colon,t2_receptor_score,237,4,5.0,0.0054505678032302305,0.0034556476367595297,0.11472819053205188,0.17323932219431348
Large_Intestine,tuft cell of colon,aging_sasp_score,178,4,5.0,0.015522409249345634,0.012635175211048573,0.21925646405963684,0.29426525439582835
Large_Intestine,tuft cell of colon,th2_score,178,4,5.0,-0.04943699122233178,0.015567591906133865,0.0014950888765556376,0.0036309301287779767
Large_Intestine,tuft cell of colon,alarmin_score,178,4,5.0,-0.03231546917501177,0.04887940899623736,0.5085312368400359,0.5962090362952145
Large_Intestine,tuft cell of colon,treg_score,178,4,5.0,-0.003723555640388224,0.0016684522947245347,0.025631996692088894,0.048415993751723466
Large_Intestine,tuft cell of colon,targets_score,178,4,5.0,0.05093511423526778,0.025912099902358314,0.04933461542369078,0.08249394710190919
